epoch,localtime,tick,filelen,lastwrite
1785884333,2026-08-04 15:58:53,15340,27894845,2026-08-04 15:56:44
1785884348,2026-08-04 15:59:08,15340,27894845,2026-08-04 15:56:44
1785884363,2026-08-04 15:59:23,15340,27894845,2026-08-04 15:56:44
1785884378,2026-08-04 15:59:38,15340,27894845,2026-08-04 15:56:44
1785884393,2026-08-04 15:59:53,15340,27894845,2026-08-04 15:56:44
1785884408,2026-08-04 16:00:08,15340,27895914,2026-08-04 16:00:04
1785884423,2026-08-04 16:00:23,15340,27896342,2026-08-04 16:00:19
1785884438,2026-08-04 16:00:38,15340,27896772,2026-08-04 16:00:35
1785884453,2026-08-04 16:00:53,15340,27896940,2026-08-04 16:00:43
1785884468,2026-08-04 16:01:08,15340,27897314,2026-08-04 16:01:03
1785884483,2026-08-04 16:01:23,15340,27897580,2026-08-04 16:01:18
1785884498,2026-08-04 16:01:38,15340,27898002,2026-08-04 16:01:35
1785884513,2026-08-04 16:01:53,15340,27898434,2026-08-04 16:01:47
1785884528,2026-08-04 16:02:08,15340,27898598,2026-08-04 16:01:55
1785884543,2026-08-04 16:02:23,15340,27898974,2026-08-04 16:02:17
1785884558,2026-08-04 16:02:38,15340,27899298,2026-08-04 16:02:38
1785884573,2026-08-04 16:02:53,15340,27899298,2026-08-04 16:02:38
1785884588,2026-08-04 16:03:08,15340,27899298,2026-08-04 16:02:38
1785884603,2026-08-04 16:03:23,15340,27899298,2026-08-04 16:02:38
1785884618,2026-08-04 16:03:38,15341,27900399,2026-08-04 16:03:33
1785884633,2026-08-04 16:03:53,15341,27900617,2026-08-04 16:03:46
1785884648,2026-08-04 16:04:08,15341,27900785,2026-08-04 16:03:55
1785884663,2026-08-04 16:04:23,15341,27901002,2026-08-04 16:04:14
1785884678,2026-08-04 16:04:38,15341,27901172,2026-08-04 16:04:25
1785884693,2026-08-04 16:04:53,15341,27901459,2026-08-04 16:04:49
1785884709,2026-08-04 16:05:09,15341,27901459,2026-08-04 16:04:49
1785884724,2026-08-04 16:05:24,15341,27901459,2026-08-04 16:04:49
1785884739,2026-08-04 16:05:39,15341,27901459,2026-08-04 16:04:49
1785884754,2026-08-04 16:05:54,15341,27901459,2026-08-04 16:04:49
1785884769,2026-08-04 16:06:09,15341,27901459,2026-08-04 16:04:49
1785884784,2026-08-04 16:06:24,15341,27901459,2026-08-04 16:04:49
